
Attaching file multidimfit.root as _file0...
(TFile *) 0x2286fe0

  RooFitResult: minimized FCN value: -6.28908, estimated distance to minimum: 3.02039e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin91_gam    1.9983e+00 +/-  9.76e-01
     prop_binY16_bin92    4.1441e-03 +/-  1.68e-01
     prop_binY16_bin93   -1.8896e-03 +/-  1.68e-01
     prop_binY16_bin94   -9.0384e-04 +/-  1.68e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin95_dy_gg   -1.5726e-04 +/-  1.68e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.21e+00
  prop_binY16_bin95_fpl    2.9979e+00 +/-  1.21e+00
      prop_binY17_bin0    2.9801e-01 +/-  1.67e-01
      prop_binY17_bin1   -2.0800e-01 +/-  1.68e-01
     prop_binY17_bin10    1.0976e-01 +/-  1.68e-01
     prop_binY17_bin11   -7.0075e-02 +/-  1.68e-01
     prop_binY17_bin12    8.3881e-02 +/-  1.68e-01
     prop_binY17_bin13   -9.9487e-02 +/-  1.68e-01
     prop_binY17_bin14   -1.5124e-02 +/-  1.68e-01
     prop_binY17_bin15    2.2433e-01 +/-  1.68e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin16_alpha   -5.4138e-04 +/-  1.68e-01
  prop_binY17_bin16_bk    3.6785e+00 +/-  1.26e+00
  prop_binY17_bin16_dy_gg    7.9750e+00 +/-  2.05e+00
  prop_binY17_bin16_fmn    2.7436e-02 +/-  1.68e-01
  prop_binY17_bin16_fpl   -5.0582e-02 +/-  1.68e-01
  prop_binY17_bin16_gam    4.9892e+01 +/-  5.35e+00
     prop_binY17_bin17    3.4093e-03 +/-  1.68e-01
     prop_binY17_bin18    3.1470e-01 +/-  1.68e-01
     prop_binY17_bin19   -9.7380e-02 +/-  1.68e-01
      prop_binY17_bin2    5.9283e-02 +/-  1.68e-01
     prop_binY17_bin20   -4.6096e-03 +/-  1.68e-01
     prop_binY17_bin21   -2.0271e-01 +/-  1.68e-01
