
Attaching file multidimfit.root as _file0...
(TFile *) 0x2d39f60

  RooFitResult: minimized FCN value: -6.2893, estimated distance to minimum: 2.96002e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin59   -2.0525e-03 +/-  1.69e-01
      prop_binY16_bin6   -5.3936e-02 +/-  1.69e-01
     prop_binY16_bin60   -5.7243e-03 +/-  1.69e-01
     prop_binY16_bin61   -1.3197e-03 +/-  1.69e-01
     prop_binY16_bin62   -2.0842e-03 +/-  1.69e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.21e+00
  prop_binY16_bin63_dy_gg   -1.4926e-02 +/-  1.69e-01
  prop_binY16_bin63_fmn    1.6887e-02 +/-  1.69e-01
  prop_binY16_bin63_fpl   -4.8950e-02 +/-  1.69e-01
     prop_binY16_bin64    2.2282e-02 +/-  1.69e-01
     prop_binY16_bin65   -4.6576e-03 +/-  1.69e-01
     prop_binY16_bin66   -4.9730e-03 +/-  1.69e-01
     prop_binY16_bin67    1.0894e-02 +/-  1.69e-01
     prop_binY16_bin68   -9.8760e-03 +/-  1.69e-01
     prop_binY16_bin69   -2.3364e-03 +/-  1.69e-01
      prop_binY16_bin7    3.0413e-01 +/-  1.69e-01
     prop_binY16_bin70    8.5378e-03 +/-  1.69e-01
     prop_binY16_bin71   -2.4987e-03 +/-  1.69e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin72_alpha   -2.2562e-04 +/-  1.69e-01
  prop_binY16_bin72_bk    2.8411e+00 +/-  1.15e+00
  prop_binY16_bin72_dy_gg    9.9920e-01 +/-  6.80e-01
  prop_binY16_bin72_fmn    1.2684e-02 +/-  1.69e-01
  prop_binY16_bin72_fpl   -2.2669e-02 +/-  1.69e-01
  prop_binY16_bin72_gam    2.3894e+01 +/-  3.67e+00
     prop_binY16_bin73    3.4203e-03 +/-  1.69e-01
     prop_binY16_bin74    7.6776e-03 +/-  1.69e-01
     prop_binY16_bin75   -2.6664e-03 +/-  1.69e-01
     prop_binY16_bin76    4.9050e-04 +/-  1.69e-01
     prop_binY16_bin77   -6.0156e-03 +/-  1.69e-01
     prop_binY16_bin78    4.4729e-03 +/-  1.69e-01
     prop_binY16_bin79    5.4044e-02 +/-  1.69e-01
      prop_binY16_bin8    7.1785e-03 +/-  1.69e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  4.67e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin80_alpha    9.0595e-05 +/-  1.69e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  9.79e-01
  prop_binY16_bin80_fmn   -4.8189e-03 +/-  1.69e-01
  prop_binY16_bin80_fpl    6.8042e-03 +/-  1.69e-01
  prop_binY16_bin80_gam    3.0031e+00 +/-  1.21e+00
     prop_binY16_bin81    4.6400e-03 +/-  1.69e-01
     prop_binY16_bin82    2.1114e-02 +/-  1.69e-01
     prop_binY16_bin83    5.0865e-04 +/-  1.69e-01
     prop_binY16_bin84   -7.1624e-05 +/-  1.69e-01
     prop_binY16_bin85   -1.4015e-02 +/-  1.69e-01
     prop_binY16_bin86    2.4707e-03 +/-  1.69e-01
     prop_binY16_bin87   -2.5917e-03 +/-  1.69e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.42e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.42e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.42e+00
  prop_binY16_bin88_dy_gg   -1.3177e-03 +/-  1.69e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.22e+00
  prop_binY16_bin88_fpl    2.9940e+00 +/-  1.21e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  4.73e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin89_alpha    2.6448e-04 +/-  1.69e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  9.78e-01
  prop_binY16_bin89_fmn   -6.2271e-03 +/-  1.69e-01
  prop_binY16_bin89_fpl    9.2120e-03 +/-  1.69e-01
      prop_binY16_bin9    2.5665e-01 +/-  1.68e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin90_alpha    3.4437e-05 +/-  1.69e-01
  prop_binY16_bin90_dy_gg    3.0001e+00 +/-  1.21e+00
  prop_binY16_bin90_fmn   -4.8292e-04 +/-  1.69e-01
  prop_binY16_bin90_fpl    8.7174e-04 +/-  1.69e-01
  prop_binY16_bin90_gam    2.0004e+00 +/-  9.78e-01
  prop_binY16_bin91_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY16_bin91_alpha   -1.8544e-04 +/-  1.69e-01
  prop_binY16_bin91_dy_gg   -6.1167e-05 +/-  1.69e-01
  prop_binY16_bin91_fmn    1.7667e-03 +/-  1.69e-01
  prop_binY16_bin91_fpl   -4.7587e-03 +/-  1.69e-01
  prop_binY16_bin91_gam    1.9983e+00 +/-  9.77e-01
     prop_binY16_bin92    4.1403e-03 +/-  1.69e-01
     prop_binY16_bin93   -1.8922e-03 +/-  1.69e-01
     prop_binY16_bin94   -9.0655e-04 +/-  1.69e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.42e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.42e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.42e+00
  prop_binY16_bin95_dy_gg   -1.5769e-04 +/-  1.69e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.21e+00
  prop_binY16_bin95_fpl    2.9979e+00 +/-  1.21e+00
      prop_binY17_bin0    2.9809e-01 +/-  1.67e-01
      prop_binY17_bin1   -2.0801e-01 +/-  1.68e-01
     prop_binY17_bin10    1.0974e-01 +/-  1.69e-01
     prop_binY17_bin11   -7.0075e-02 +/-  1.69e-01
     prop_binY17_bin12    8.3894e-02 +/-  1.69e-01
     prop_binY17_bin13   -9.9503e-02 +/-  1.69e-01
     prop_binY17_bin14   -1.5092e-02 +/-  1.69e-01
     prop_binY17_bin15    2.2438e-01 +/-  1.68e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin16_alpha   -5.4139e-04 +/-  1.69e-01
  prop_binY17_bin16_bk    3.6785e+00 +/-  1.26e+00
  prop_binY17_bin16_dy_gg    7.9750e+00 +/-  2.06e+00
  prop_binY17_bin16_fmn    2.7433e-02 +/-  1.69e-01
  prop_binY17_bin16_fpl   -5.0583e-02 +/-  1.69e-01
  prop_binY17_bin16_gam    4.9892e+01 +/-  5.36e+00
     prop_binY17_bin17    3.3658e-03 +/-  1.69e-01
     prop_binY17_bin18    3.1466e-01 +/-  1.69e-01
     prop_binY17_bin19   -9.7402e-02 +/-  1.69e-01
      prop_binY17_bin2    5.9282e-02 +/-  1.69e-01
     prop_binY17_bin20   -4.6262e-03 +/-  1.69e-01
     prop_binY17_bin21   -2.0272e-01 +/-  1.69e-01
     prop_binY17_bin22   -2.5971e-03 +/-  1.69e-01
     prop_binY17_bin23    1.0455e-01 +/-  1.69e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.42e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  2.44e+00
  prop_binY17_bin24_bk    1.9369e+00 +/-  9.55e-01
  prop_binY17_bin24_dy_gg    9.8771e-01 +/-  6.74e-01
  prop_binY17_bin24_fmn    1.3127e+01 +/-  2.69e+00
  prop_binY17_bin24_fpl    1.2796e+01 +/-  2.64e+00
  prop_binY17_bin24_gam    4.9214e+00 +/-  1.58e+00
     prop_binY17_bin25   -3.8036e-02 +/-  1.69e-01
     prop_binY17_bin26    8.4866e-02 +/-  1.69e-01
     prop_binY17_bin27   -1.1369e-02 +/-  1.69e-01
     prop_binY17_bin28    1.6117e-02 +/-  1.69e-01
     prop_binY17_bin29   -5.2949e-02 +/-  1.69e-01
      prop_binY17_bin3    3.6467e-02 +/-  1.69e-01
     prop_binY17_bin30    3.1862e-03 +/-  1.69e-01
  prop_binY17_bin31_LQint    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin31_LQpure    4.0000e+00 +/-  1.42e+00
  prop_binY17_bin31_alpha    1.1001e+01 +/-  2.44e+00
  prop_binY17_bin31_bk    2.0230e+00 +/-  9.85e-01
  prop_binY17_bin31_dy_gg    1.0044e+00 +/-  6.82e-01
  prop_binY17_bin31_fmn    1.2979e+01 +/-  2.67e+00
  prop_binY17_bin31_fpl    1.3155e+01 +/-  2.66e+00
  prop_binY17_bin31_gam    5.0280e+00 +/-  1.60e+00
  prop_binY17_bin32_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin32_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin32_alpha   -7.4326e-05 +/-  1.69e-01
  prop_binY17_bin32_bk    6.6124e+00 +/-  1.60e+00
  prop_binY17_bin32_dy_gg    1.5993e+01 +/-  2.98e+00
  prop_binY17_bin32_fmn    4.1172e-03 +/-  1.69e-01
  prop_binY17_bin32_fpl   -1.1569e-02 +/-  1.69e-01
  prop_binY17_bin32_gam   -1.0439e-02 +/-  1.69e-01
     prop_binY17_bin33    1.9343e-02 +/-  1.69e-01
     prop_binY17_bin34    2.5125e-02 +/-  1.69e-01
     prop_binY17_bin35   -1.1317e-01 +/-  1.69e-01
     prop_binY17_bin36    8.7446e-02 +/-  1.69e-01
     prop_binY17_bin37   -1.8217e-02 +/-  1.69e-01
     prop_binY17_bin38   -1.9874e-02 +/-  1.69e-01
     prop_binY17_bin39    1.6253e-01 +/-  1.68e-01
      prop_binY17_bin4    7.0670e-03 +/-  1.69e-01
  prop_binY17_bin40_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin40_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin40_alpha   -3.8162e-04 +/-  1.69e-01
  prop_binY17_bin40_bk    3.3342e+00 +/-  1.17e+00
  prop_binY17_bin40_dy_gg    3.3971e+01 +/-  4.41e+00
  prop_binY17_bin40_fmn    2.1646e-02 +/-  1.69e-01
  prop_binY17_bin40_fpl   -4.2164e-02 +/-  1.69e-01
  prop_binY17_bin40_gam    3.8789e+01 +/-  4.71e+00
     prop_binY17_bin41    5.0151e-02 +/-  1.69e-01
     prop_binY17_bin42    1.8603e-02 +/-  1.69e-01
     prop_binY17_bin43   -4.4845e-03 +/-  1.69e-01
     prop_binY17_bin44    4.7345e-03 +/-  1.69e-01
     prop_binY17_bin45   -1.0062e-02 +/-  1.69e-01
     prop_binY17_bin46   -1.9668e-02 +/-  1.69e-01
     prop_binY17_bin47    2.2719e-01 +/-  1.69e-01
  prop_binY17_bin48_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin48_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin48_alpha    2.8707e-05 +/-  1.69e-01
  prop_binY17_bin48_bk    5.0636e+00 +/-  1.49e+00
  prop_binY17_bin48_dy_gg    1.9002e+01 +/-  3.26e+00
  prop_binY17_bin48_fmn   -1.5033e-03 +/-  1.69e-01
  prop_binY17_bin48_fpl    2.4576e-03 +/-  1.69e-01
  prop_binY17_bin48_gam    2.6014e+01 +/-  3.84e+00
     prop_binY17_bin49    1.9033e-02 +/-  1.69e-01
      prop_binY17_bin5   -5.3508e-02 +/-  1.69e-01
     prop_binY17_bin50    1.6498e-03 +/-  1.69e-01
     prop_binY17_bin51    1.7008e-03 +/-  1.69e-01
     prop_binY17_bin52   -4.5389e-04 +/-  1.69e-01
     prop_binY17_bin53   -5.6166e-04 +/-  1.69e-01
     prop_binY17_bin54   -4.5630e-03 +/-  1.69e-01
     prop_binY17_bin55   -9.3361e-03 +/-  1.69e-01
  prop_binY17_bin56_LQint    2.0000e+00 +/-  9.78e-01
  prop_binY17_bin56_LQpure    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin56_alpha    2.5000e+01 +/-  3.76e+00
  prop_binY17_bin56_dy_gg    1.9977e+00 +/-  9.77e-01
  prop_binY17_bin56_fmn    2.8014e+01 +/-  3.99e+00
  prop_binY17_bin56_fpl    2.7979e+01 +/-  3.98e+00
  prop_binY17_bin56_gam    1.9995e+00 +/-  9.78e-01
     prop_binY17_bin57    6.7067e-03 +/-  1.69e-01
     prop_binY17_bin58   -1.3406e-02 +/-  1.69e-01
     prop_binY17_bin59    9.8750e-03 +/-  1.69e-01
      prop_binY17_bin6    1.6346e-01 +/-  1.69e-01
     prop_binY17_bin60   -1.0688e-02 +/-  1.69e-01
     prop_binY17_bin61    6.3963e-03 +/-  1.69e-01
     prop_binY17_bin62   -1.5628e-03 +/-  1.69e-01
  prop_binY17_bin63_LQint    2.0000e+00 +/-  9.78e-01
  prop_binY17_bin63_LQpure    3.0000e+00 +/-  1.21e+00
  prop_binY17_bin63_alpha    2.5000e+01 +/-  3.76e+00
  prop_binY17_bin63_dy_gg    2.0004e+00 +/-  9.78e-01
  prop_binY17_bin63_fmn    2.7999e+01 +/-  3.99e+00
  prop_binY17_bin63_fpl    2.8008e+01 +/-  3.98e+00
  prop_binY17_bin63_gam    2.0001e+00 +/-  9.78e-01
     prop_binY17_bin64   -1.3144e-01 +/-  1.69e-01
     prop_binY17_bin65    9.4300e-03 +/-  1.69e-01
     prop_binY17_bin66   -5.0131e-03 +/-  1.69e-01
     prop_binY17_bin67   -9.0440e-04 +/-  1.69e-01
     prop_binY17_bin68    3.8774e-04 +/-  1.69e-01
     prop_binY17_bin69    6.9568e-03 +/-  1.69e-01
      prop_binY17_bin7   -2.4922e-01 +/-  1.68e-01
     prop_binY17_bin70   -2.3712e-03 +/-  1.69e-01
     prop_binY17_bin71    1.0582e-01 +/-  1.69e-01
     prop_binY17_bin72    2.2064e-02 +/-  1.69e-01
     prop_binY17_bin73    6.4022e-03 +/-  1.69e-01
     prop_binY17_bin74    1.0791e-02 +/-  1.69e-01
     prop_binY17_bin75    2.1182e-03 +/-  1.69e-01
     prop_binY17_bin76   -1.2420e-03 +/-  1.69e-01
     prop_binY17_bin77   -4.1864e-03 +/-  1.69e-01
     prop_binY17_bin78    3.5493e-04 +/-  1.69e-01
     prop_binY17_bin79   -6.1655e-03 +/-  1.69e-01
      prop_binY17_bin8   -2.8272e-01 +/-  1.68e-01
  prop_binY17_bin80_LQint    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin80_LQpure    0.0000e+00 +/-  1.69e-01
  prop_binY17_bin80_alpha    3.0989e-05 +/-  1.69e-01
  prop_binY17_bin80_bk    2.0090e+00 +/-  9.78e-01
