
Attaching file multidimfit.root as _file0...
(TFile *) 0x266fc90

  RooFitResult: minimized FCN value: -6.27488, estimated distance to minimum: 0.000546827
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin50   -2.2149e-02 +/-  6.57e-01
     prop_binY16_bin51   -2.1617e-02 +/-  6.59e-01
     prop_binY16_bin52    1.5857e-02 +/-  6.59e-01
     prop_binY16_bin53    1.1375e-03 +/-  6.58e-01
     prop_binY16_bin54   -9.3995e-03 +/-  6.59e-01
     prop_binY16_bin55    3.2831e-02 +/-  6.56e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.68e+00
  prop_binY16_bin56_dy_gg   -6.2098e-03 +/-  6.62e-01
  prop_binY16_bin56_fmn    5.7739e-03 +/-  6.62e-01
  prop_binY16_bin56_fpl   -2.4296e-02 +/-  6.52e-01
     prop_binY16_bin57    1.5519e-02 +/-  6.58e-01
     prop_binY16_bin58   -8.0590e-03 +/-  6.58e-01
     prop_binY16_bin59   -2.4704e-03 +/-  6.59e-01
      prop_binY16_bin6   -5.3917e-02 +/-  6.39e-01
     prop_binY16_bin60   -6.2734e-03 +/-  6.59e-01
     prop_binY16_bin61   -2.6675e-03 +/-  6.59e-01
     prop_binY16_bin62   -3.1977e-03 +/-  6.60e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.68e+00
  prop_binY16_bin63_dy_gg   -1.5079e-02 +/-  6.62e-01
  prop_binY16_bin63_fmn    1.6871e-02 +/-  6.62e-01
  prop_binY16_bin63_fpl   -4.8984e-02 +/-  6.62e-01
     prop_binY16_bin64    2.1365e-02 +/-  6.54e-01
     prop_binY16_bin65   -4.9519e-03 +/-  6.60e-01
     prop_binY16_bin66   -5.2462e-03 +/-  6.60e-01
     prop_binY16_bin67    1.0153e-02 +/-  6.60e-01
     prop_binY16_bin68   -1.0624e-02 +/-  6.60e-01
     prop_binY16_bin69   -2.8221e-03 +/-  6.60e-01
      prop_binY16_bin7    3.0437e-01 +/-  6.31e-01
     prop_binY16_bin70    8.2739e-03 +/-  6.60e-01
     prop_binY16_bin71   -3.7215e-03 +/-  6.56e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  6.62e-01
  prop_binY16_bin72_alpha   -2.1756e-04 +/-  6.62e-01
  prop_binY16_bin72_bk    2.8416e+00 +/-  1.55e+00
