
Attaching file multidimfit.root as _file0...
(TFile *) 0x268f8b0

  RooFitResult: minimized FCN value: -6.28886, estimated distance to minimum: 2.7522e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
      prop_binY16_bin5    1.2350e-02 +/-  1.61e-01
     prop_binY16_bin50   -2.2505e-02 +/-  1.61e-01
     prop_binY16_bin51   -2.1551e-02 +/-  1.61e-01
     prop_binY16_bin52    1.6252e-02 +/-  1.61e-01
     prop_binY16_bin53    3.8252e-04 +/-  1.61e-01
     prop_binY16_bin54   -8.0737e-03 +/-  1.61e-01
     prop_binY16_bin55    3.2684e-02 +/-  1.61e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.18e+00
  prop_binY16_bin56_dy_gg   -6.3066e-03 +/-  1.61e-01
  prop_binY16_bin56_fmn    5.9296e-03 +/-  1.61e-01
  prop_binY16_bin56_fpl   -2.4915e-02 +/-  1.61e-01
     prop_binY16_bin57    1.5662e-02 +/-  1.61e-01
     prop_binY16_bin58   -7.4199e-03 +/-  1.61e-01
     prop_binY16_bin59   -2.0153e-03 +/-  1.61e-01
      prop_binY16_bin6   -5.3795e-02 +/-  1.61e-01
     prop_binY16_bin60   -5.7322e-03 +/-  1.61e-01
     prop_binY16_bin61   -1.3574e-03 +/-  1.61e-01
     prop_binY16_bin62   -2.0847e-03 +/-  1.61e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  1.61e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.18e+00
  prop_binY16_bin63_dy_gg   -1.4925e-02 +/-  1.61e-01
  prop_binY16_bin63_fmn    1.6887e-02 +/-  1.61e-01
  prop_binY16_bin63_fpl   -4.8964e-02 +/-  1.61e-01
     prop_binY16_bin64    2.2384e-02 +/-  1.61e-01
     prop_binY16_bin65   -4.6441e-03 +/-  1.61e-01
     prop_binY16_bin66   -4.9875e-03 +/-  1.61e-01
     prop_binY16_bin67    1.0844e-02 +/-  1.61e-01
     prop_binY16_bin68   -9.9401e-03 +/-  1.61e-01
