
Attaching file multidimfit.root as _file0...
(TFile *) 0x3401ce0

  RooFitResult: minimized FCN value: -6.28939, estimated distance to minimum: 2.90058e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.21e+00
  prop_binY16_bin88_fpl    2.9940e+00 +/-  1.21e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  4.72e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin89_alpha    2.6429e-04 +/-  1.68e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  9.76e-01
  prop_binY16_bin89_fmn   -6.2230e-03 +/-  1.68e-01
  prop_binY16_bin89_fpl    9.2062e-03 +/-  1.68e-01
      prop_binY16_bin9    2.5669e-01 +/-  1.68e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin90_alpha    3.4514e-05 +/-  1.68e-01
  prop_binY16_bin90_dy_gg    3.0001e+00 +/-  1.21e+00
  prop_binY16_bin90_fmn   -4.8399e-04 +/-  1.68e-01
  prop_binY16_bin90_fpl    8.7413e-04 +/-  1.68e-01
  prop_binY16_bin90_gam    2.0004e+00 +/-  9.76e-01
  prop_binY16_bin91_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY16_bin91_alpha   -1.8579e-04 +/-  1.68e-01
  prop_binY16_bin91_dy_gg   -6.1273e-05 +/-  1.68e-01
  prop_binY16_bin91_fmn    1.7702e-03 +/-  1.68e-01
  prop_binY16_bin91_fpl   -4.7678e-03 +/-  1.68e-01
  prop_binY16_bin91_gam    1.9982e+00 +/-  9.75e-01
     prop_binY16_bin92    4.1315e-03 +/-  1.68e-01
     prop_binY16_bin93   -1.9007e-03 +/-  1.68e-01
     prop_binY16_bin94   -9.1066e-04 +/-  1.68e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.41e+00
  prop_binY16_bin95_dy_gg   -1.5776e-04 +/-  1.68e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.21e+00
  prop_binY16_bin95_fpl    2.9979e+00 +/-  1.21e+00
      prop_binY17_bin0    2.9806e-01 +/-  1.67e-01
      prop_binY17_bin1   -2.0800e-01 +/-  1.68e-01
     prop_binY17_bin10    1.0976e-01 +/-  1.68e-01
     prop_binY17_bin11   -7.0079e-02 +/-  1.68e-01
     prop_binY17_bin12    8.3874e-02 +/-  1.68e-01
     prop_binY17_bin13   -9.9516e-02 +/-  1.68e-01
     prop_binY17_bin14   -1.5114e-02 +/-  1.68e-01
     prop_binY17_bin15    2.2434e-01 +/-  1.67e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  1.68e-01
  prop_binY17_bin16_alpha   -5.4117e-04 +/-  1.68e-01
