
Attaching file multidimfit.root as _file0...
(TFile *) 0x34d3490

  RooFitResult: minimized FCN value: -6.27474, estimated distance to minimum: 0.000519742
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin55    3.2831e-02 +/-  6.41e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.68e+00
  prop_binY16_bin56_dy_gg   -6.2097e-03 +/-  6.46e-01
  prop_binY16_bin56_fmn    5.7737e-03 +/-  6.47e-01
  prop_binY16_bin56_fpl   -2.4295e-02 +/-  6.38e-01
     prop_binY16_bin57    1.5514e-02 +/-  6.44e-01
     prop_binY16_bin58   -8.0635e-03 +/-  6.44e-01
     prop_binY16_bin59   -2.4843e-03 +/-  6.44e-01
      prop_binY16_bin6   -5.3879e-02 +/-  6.25e-01
     prop_binY16_bin60   -6.2877e-03 +/-  6.44e-01
     prop_binY16_bin61   -2.6699e-03 +/-  6.44e-01
     prop_binY16_bin62   -3.1984e-03 +/-  6.45e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.68e+00
  prop_binY16_bin63_dy_gg   -1.5078e-02 +/-  6.47e-01
  prop_binY16_bin63_fmn    1.6870e-02 +/-  6.47e-01
  prop_binY16_bin63_fpl   -4.8981e-02 +/-  6.47e-01
     prop_binY16_bin64    2.1365e-02 +/-  6.39e-01
     prop_binY16_bin65   -4.9491e-03 +/-  6.45e-01
     prop_binY16_bin66   -5.2456e-03 +/-  6.45e-01
     prop_binY16_bin67    1.0152e-02 +/-  6.45e-01
     prop_binY16_bin68   -1.0623e-02 +/-  6.45e-01
     prop_binY16_bin69   -2.8205e-03 +/-  6.45e-01
      prop_binY16_bin7    3.0438e-01 +/-  6.18e-01
     prop_binY16_bin70    8.2774e-03 +/-  6.45e-01
     prop_binY16_bin71   -3.7180e-03 +/-  6.42e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin72_alpha   -2.1762e-04 +/-  6.47e-01
  prop_binY16_bin72_bk    2.8416e+00 +/-  1.55e+00
  prop_binY16_bin72_dy_gg    9.9937e-01 +/-  9.67e-01
  prop_binY16_bin72_fmn    1.2651e-02 +/-  6.47e-01
  prop_binY16_bin72_fpl   -2.2644e-02 +/-  6.47e-01
  prop_binY16_bin72_gam    2.3895e+01 +/-  4.76e+00
     prop_binY16_bin73    2.9899e-03 +/-  6.44e-01
     prop_binY16_bin74    6.7661e-03 +/-  6.46e-01
     prop_binY16_bin75   -2.7472e-03 +/-  6.46e-01
     prop_binY16_bin76    3.9267e-04 +/-  6.46e-01
     prop_binY16_bin77   -6.8293e-03 +/-  6.46e-01
     prop_binY16_bin78    3.9434e-03 +/-  6.45e-01
     prop_binY16_bin79    5.3321e-02 +/-  6.41e-01
      prop_binY16_bin8    3.1576e-03 +/-  6.17e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  6.02e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin80_alpha    8.5418e-05 +/-  6.47e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  1.37e+00
  prop_binY16_bin80_fmn   -4.6899e-03 +/-  6.46e-01
  prop_binY16_bin80_fpl    6.6362e-03 +/-  6.46e-01
  prop_binY16_bin80_gam    3.0030e+00 +/-  1.68e+00
     prop_binY16_bin81    4.4757e-03 +/-  6.45e-01
     prop_binY16_bin82    2.0576e-02 +/-  6.45e-01
     prop_binY16_bin83    3.0111e-04 +/-  6.46e-01
     prop_binY16_bin84   -4.1007e-04 +/-  6.46e-01
     prop_binY16_bin85   -1.4510e-02 +/-  6.46e-01
     prop_binY16_bin86    1.9643e-03 +/-  6.46e-01
     prop_binY16_bin87   -2.7946e-03 +/-  6.46e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.94e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.94e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.94e+00
  prop_binY16_bin88_dy_gg   -1.3310e-03 +/-  6.47e-01
  prop_binY16_bin88_fmn    3.0050e+00 +/-  1.68e+00
  prop_binY16_bin88_fpl    2.9939e+00 +/-  1.68e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  6.10e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin89_alpha    2.5888e-04 +/-  6.47e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  1.37e+00
  prop_binY16_bin89_fmn   -6.2961e-03 +/-  6.46e-01
  prop_binY16_bin89_fpl    9.3312e-03 +/-  6.45e-01
      prop_binY16_bin9    2.5750e-01 +/-  6.08e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin90_alpha    4.5653e-05 +/-  6.47e-01
  prop_binY16_bin90_dy_gg    3.0002e+00 +/-  1.68e+00
  prop_binY16_bin90_fmn   -6.6022e-04 +/-  6.47e-01
  prop_binY16_bin90_fpl    1.1948e-03 +/-  6.46e-01
  prop_binY16_bin90_gam    2.0005e+00 +/-  1.37e+00
  prop_binY16_bin91_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY16_bin91_alpha   -1.7811e-04 +/-  6.47e-01
  prop_binY16_bin91_dy_gg   -6.1419e-05 +/-  6.47e-01
  prop_binY16_bin91_fmn    1.7548e-03 +/-  6.47e-01
  prop_binY16_bin91_fpl   -4.7340e-03 +/-  6.46e-01
  prop_binY16_bin91_gam    1.9983e+00 +/-  1.37e+00
     prop_binY16_bin92    3.9026e-03 +/-  6.45e-01
     prop_binY16_bin93   -1.2539e-03 +/-  6.46e-01
     prop_binY16_bin94   -7.7625e-04 +/-  6.46e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.94e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.94e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.94e+00
  prop_binY16_bin95_dy_gg   -1.7363e-04 +/-  6.47e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.68e+00
  prop_binY16_bin95_fpl    2.9977e+00 +/-  1.67e+00
      prop_binY17_bin0    3.0072e-01 +/-  5.73e-01
      prop_binY17_bin1   -2.0330e-01 +/-  6.17e-01
     prop_binY17_bin10    1.1027e-01 +/-  6.26e-01
     prop_binY17_bin11   -7.0536e-02 +/-  6.33e-01
     prop_binY17_bin12    8.3715e-02 +/-  6.33e-01
     prop_binY17_bin13   -9.6804e-02 +/-  6.32e-01
     prop_binY17_bin14   -1.5913e-02 +/-  6.38e-01
     prop_binY17_bin15    2.2343e-01 +/-  6.04e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  6.47e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  6.47e-01
  prop_binY17_bin16_alpha   -5.2440e-04 +/-  6.47e-01
  prop_binY17_bin16_bk    3.6785e+00 +/-  1.63e+00
  prop_binY17_bin16_dy_gg    7.9747e+00 +/-  2.74e+00
  prop_binY17_bin16_fmn    2.7490e-02 +/-  6.46e-01
  prop_binY17_bin16_fpl   -5.0761e-02 +/-  6.45e-01
  prop_binY17_bin16_gam    4.9893e+01 +/-  6.89e+00
     prop_binY17_bin17    2.8443e-03 +/-  6.23e-01
     prop_binY17_bin18    3.2223e-01 +/-  6.20e-01
     prop_binY17_bin19   -9.6839e-02 +/-  6.38e-01
      prop_binY17_bin2    5.8811e-02 +/-  6.31e-01
     prop_binY17_bin20   -3.7701e-03 +/-  6.38e-01
     prop_binY17_bin21   -2.0075e-01 +/-  6.33e-01
     prop_binY17_bin22   -4.6502e-03 +/-  6.34e-01
     prop_binY17_bin23    1.0219e-01 +/-  6.28e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.68e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.94e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  3.23e+00
