
Attaching file multidimfit.root as _file0...
(TFile *) 0x384fe20

  RooFitResult: minimized FCN value: -6.24133, estimated distance to minimum: 0.00211633
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin36    1.0205e-02 +/-  9.84e-01
     prop_binY16_bin37   -3.1256e-02 +/-  9.83e-01
     prop_binY16_bin38    1.1914e-01 +/-  9.53e-01
     prop_binY16_bin39    1.3417e-01 +/-  9.30e-01
      prop_binY16_bin4    1.7109e-02 +/-  9.44e-01
     prop_binY16_bin40    1.4421e-01 +/-  9.00e-01
     prop_binY16_bin41    3.4836e-02 +/-  9.81e-01
     prop_binY16_bin42   -2.8033e-02 +/-  9.85e-01
     prop_binY16_bin43   -6.0009e-04 +/-  9.82e-01
     prop_binY16_bin44    2.1989e-03 +/-  9.83e-01
     prop_binY16_bin45    1.3002e-02 +/-  9.84e-01
     prop_binY16_bin46   -1.2198e-02 +/-  9.84e-01
     prop_binY16_bin47   -7.0168e-02 +/-  9.40e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin48_alpha   -2.1817e-04 +/-  9.94e-01
  prop_binY16_bin48_bk    5.8637e+00 +/-  2.30e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  3.28e+00
  prop_binY16_bin48_fmn    1.2621e-02 +/-  9.93e-01
  prop_binY16_bin48_fpl   -2.0872e-02 +/-  9.90e-01
  prop_binY16_bin48_gam    6.9836e+00 +/-  2.61e+00
     prop_binY16_bin49    3.6231e-02 +/-  9.81e-01
      prop_binY16_bin5    1.7795e-02 +/-  9.36e-01
     prop_binY16_bin50   -2.1436e-02 +/-  9.77e-01
     prop_binY16_bin51   -2.0802e-02 +/-  9.85e-01
     prop_binY16_bin52    1.6606e-02 +/-  9.84e-01
     prop_binY16_bin53    1.5203e-03 +/-  9.81e-01
     prop_binY16_bin54   -9.7070e-03 +/-  9.85e-01
     prop_binY16_bin55    3.2491e-02 +/-  9.73e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.71e+00
  prop_binY16_bin56_dy_gg   -6.2334e-03 +/-  9.92e-01
  prop_binY16_bin56_fmn    5.7720e-03 +/-  9.93e-01
  prop_binY16_bin56_fpl   -2.4378e-02 +/-  9.62e-01
     prop_binY16_bin57    1.5570e-02 +/-  9.82e-01
     prop_binY16_bin58   -7.5856e-03 +/-  9.82e-01
     prop_binY16_bin59   -2.0733e-03 +/-  9.84e-01
      prop_binY16_bin6   -5.2282e-02 +/-  9.20e-01
     prop_binY16_bin60   -6.0582e-03 +/-  9.85e-01
     prop_binY16_bin61   -2.5415e-03 +/-  9.83e-01
     prop_binY16_bin62   -3.3172e-03 +/-  9.87e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.71e+00
  prop_binY16_bin63_dy_gg   -1.5108e-02 +/-  9.94e-01
  prop_binY16_bin63_fmn    1.6835e-02 +/-  9.94e-01
  prop_binY16_bin63_fpl   -4.9048e-02 +/-  9.94e-01
     prop_binY16_bin64    2.1298e-02 +/-  9.66e-01
     prop_binY16_bin65   -4.8077e-03 +/-  9.88e-01
     prop_binY16_bin66   -4.8221e-03 +/-  9.88e-01
     prop_binY16_bin67    1.0913e-02 +/-  9.87e-01
     prop_binY16_bin68   -9.9884e-03 +/-  9.88e-01
     prop_binY16_bin69   -2.4653e-03 +/-  9.89e-01
      prop_binY16_bin7    3.0563e-01 +/-  8.99e-01
     prop_binY16_bin70    8.4526e-03 +/-  9.89e-01
     prop_binY16_bin71   -3.9433e-03 +/-  9.75e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_alpha   -1.9798e-04 +/-  9.94e-01
  prop_binY16_bin72_bk    2.8413e+00 +/-  1.58e+00
  prop_binY16_bin72_dy_gg    9.9939e-01 +/-  9.88e-01
  prop_binY16_bin72_fmn    1.2616e-02 +/-  9.94e-01
  prop_binY16_bin72_fpl   -2.2660e-02 +/-  9.93e-01
  prop_binY16_bin72_gam    2.3896e+01 +/-  4.83e+00
     prop_binY16_bin73    3.0212e-03 +/-  9.84e-01
     prop_binY16_bin74    7.0253e-03 +/-  9.89e-01
     prop_binY16_bin75   -2.3240e-03 +/-  9.90e-01
     prop_binY16_bin76    7.7740e-04 +/-  9.90e-01
     prop_binY16_bin77   -6.6531e-03 +/-  9.90e-01
