
Attaching file multidimfit.root as _file0...
(TFile *) 0x31703b0

  RooFitResult: minimized FCN value: -6.23044, estimated distance to minimum: 0.000243716
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY17_bin56_LQpure    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin56_alpha    2.5000e+01 +/-  4.95e+00
  prop_binY17_bin56_dy_gg    1.9976e+00 +/-  1.40e+00
  prop_binY17_bin56_fmn    2.8015e+01 +/-  5.24e+00
  prop_binY17_bin56_fpl    2.7978e+01 +/-  5.23e+00
  prop_binY17_bin56_gam    1.9995e+00 +/-  1.40e+00
     prop_binY17_bin57    6.4778e-03 +/-  9.90e-01
     prop_binY17_bin58   -1.2645e-02 +/-  9.89e-01
     prop_binY17_bin59    1.1036e-02 +/-  9.90e-01
      prop_binY17_bin6    1.6282e-01 +/-  9.01e-01
     prop_binY17_bin60   -9.7089e-03 +/-  9.90e-01
     prop_binY17_bin61    7.0616e-03 +/-  9.90e-01
     prop_binY17_bin62   -1.3479e-03 +/-  9.91e-01
  prop_binY17_bin63_LQint    2.0000e+00 +/-  1.40e+00
  prop_binY17_bin63_LQpure    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin63_alpha    2.5000e+01 +/-  4.95e+00
  prop_binY17_bin63_dy_gg    2.0004e+00 +/-  1.40e+00
  prop_binY17_bin63_fmn    2.7999e+01 +/-  5.24e+00
  prop_binY17_bin63_fpl    2.8008e+01 +/-  5.23e+00
  prop_binY17_bin63_gam    2.0001e+00 +/-  1.40e+00
     prop_binY17_bin64   -1.3128e-01 +/-  9.41e-01
     prop_binY17_bin65    8.4034e-03 +/-  9.92e-01
     prop_binY17_bin66   -5.4894e-03 +/-  9.92e-01
     prop_binY17_bin67   -1.3674e-03 +/-  9.92e-01
     prop_binY17_bin68   -1.8487e-04 +/-  9.92e-01
     prop_binY17_bin69    6.2663e-03 +/-  9.92e-01
      prop_binY17_bin7   -2.4783e-01 +/-  8.04e-01
     prop_binY17_bin70   -3.6314e-03 +/-  9.92e-01
     prop_binY17_bin71    1.0344e-01 +/-  9.49e-01
     prop_binY17_bin72    2.1148e-02 +/-  9.90e-01
     prop_binY17_bin73    5.8572e-03 +/-  9.91e-01
     prop_binY17_bin74    1.0090e-02 +/-  9.92e-01
     prop_binY17_bin75    1.5975e-03 +/-  9.92e-01
     prop_binY17_bin76   -1.9490e-03 +/-  9.92e-01
     prop_binY17_bin77   -5.1669e-03 +/-  9.93e-01
     prop_binY17_bin78   -3.1312e-04 +/-  9.92e-01
     prop_binY17_bin79   -6.6199e-03 +/-  9.92e-01
      prop_binY17_bin8   -2.8092e-01 +/-  8.09e-01
  prop_binY17_bin80_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin80_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin80_alpha    2.5835e-05 +/-  9.94e-01
  prop_binY17_bin80_bk    2.0086e+00 +/-  1.40e+00
  prop_binY17_bin80_dy_gg    1.0001e+01 +/-  3.13e+00
  prop_binY17_bin80_fmn   -1.5787e-03 +/-  9.94e-01
  prop_binY17_bin80_fpl    2.2155e-03 +/-  9.94e-01
  prop_binY17_bin80_gam    5.0090e+00 +/-  2.21e+00
     prop_binY17_bin81    4.6868e-03 +/-  9.87e-01
     prop_binY17_bin82   -2.3786e-04 +/-  9.92e-01
     prop_binY17_bin83   -1.1336e-03 +/-  9.92e-01
     prop_binY17_bin84   -2.3384e-04 +/-  9.92e-01
     prop_binY17_bin85    9.9351e-04 +/-  9.92e-01
     prop_binY17_bin86    7.2167e-04 +/-  9.92e-01
     prop_binY17_bin87   -2.0521e-03 +/-  9.91e-01
  prop_binY17_bin88_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin88_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin88_alpha    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin88_fmn    3.0019e+00 +/-  1.71e+00
  prop_binY17_bin88_fpl    2.9965e+00 +/-  1.71e+00
  prop_binY17_bin89_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin89_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin89_alpha    2.4968e-04 +/-  9.94e-01
  prop_binY17_bin89_dy_gg    4.0026e+00 +/-  1.98e+00
  prop_binY17_bin89_fmn   -6.9095e-03 +/-  9.93e-01
  prop_binY17_bin89_fpl    9.3542e-03 +/-  9.92e-01
  prop_binY17_bin89_gam    2.0122e+00 +/-  1.41e+00
      prop_binY17_bin9    3.3205e-02 +/-  9.53e-01
     prop_binY17_bin90    8.9269e-03 +/-  9.92e-01
     prop_binY17_bin91   -2.2788e-03 +/-  9.93e-01
     prop_binY17_bin92    6.4906e-04 +/-  9.93e-01
     prop_binY17_bin93   -4.1627e-03 +/-  9.93e-01
     prop_binY17_bin94   -2.9947e-03 +/-  9.93e-01
  prop_binY17_bin95_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin95_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin95_alpha    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin95_fmn    2.9997e+00 +/-  1.71e+00
  prop_binY17_bin95_fpl    3.0017e+00 +/-  1.71e+00
      prop_binY18_bin0    8.0777e-01 +/-  6.91e-01
      prop_binY18_bin1   -2.2139e-01 +/-  8.09e-01
     prop_binY18_bin10   -2.7708e-01 +/-  9.35e-01
     prop_binY18_bin11    1.0777e-01 +/-  9.38e-01
     prop_binY18_bin12   -1.4165e-01 +/-  9.45e-01
     prop_binY18_bin13    9.0989e-02 +/-  9.40e-01
     prop_binY18_bin14    1.6838e-02 +/-  9.32e-01
     prop_binY18_bin15   -1.6686e-01 +/-  8.02e-01
  prop_binY18_bin16_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY18_bin16_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY18_bin16_alpha   -6.7835e-04 +/-  9.94e-01
