
Attaching file multidimfit.root as _file0...
(TFile *) 0x32a3ce0

  RooFitResult: minimized FCN value: -6.27272, estimated distance to minimum: 0.00143585
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin43   -1.9632e-03 +/-  9.82e-01
     prop_binY16_bin44    8.9949e-04 +/-  9.83e-01
     prop_binY16_bin45    1.2157e-02 +/-  9.84e-01
     prop_binY16_bin46   -1.2314e-02 +/-  9.84e-01
     prop_binY16_bin47   -6.9326e-02 +/-  9.40e-01
  prop_binY16_bin48_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin48_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin48_alpha   -2.2987e-04 +/-  9.94e-01
  prop_binY16_bin48_bk    5.8660e+00 +/-  2.30e+00
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  3.28e+00
  prop_binY16_bin48_fmn    1.2457e-02 +/-  9.93e-01
  prop_binY16_bin48_fpl   -2.0542e-02 +/-  9.90e-01
  prop_binY16_bin48_gam    6.9837e+00 +/-  2.61e+00
     prop_binY16_bin49    3.6443e-02 +/-  9.81e-01
      prop_binY16_bin5    1.3086e-02 +/-  9.37e-01
     prop_binY16_bin50   -2.1763e-02 +/-  9.77e-01
     prop_binY16_bin51   -2.1753e-02 +/-  9.85e-01
     prop_binY16_bin52    1.5618e-02 +/-  9.84e-01
     prop_binY16_bin53    1.3055e-03 +/-  9.81e-01
     prop_binY16_bin54   -9.7903e-03 +/-  9.85e-01
     prop_binY16_bin55    3.2997e-02 +/-  9.73e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.71e+00
  prop_binY16_bin56_dy_gg   -6.2709e-03 +/-  9.92e-01
  prop_binY16_bin56_fmn    5.8182e-03 +/-  9.93e-01
  prop_binY16_bin56_fpl   -2.4500e-02 +/-  9.62e-01
