
Attaching file multidimfit.root as _file0...
(TFile *) 0x38e3280

  RooFitResult: minimized FCN value: -6.28218, estimated distance to minimum: 5.82502e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
     prop_binY16_bin69   -2.5640e-03 +/-  2.31e-01
      prop_binY16_bin7    3.0365e-01 +/-  2.30e-01
     prop_binY16_bin70    8.5051e-03 +/-  2.31e-01
     prop_binY16_bin71   -3.2001e-03 +/-  2.31e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin72_alpha   -2.2048e-04 +/-  2.32e-01
  prop_binY16_bin72_bk    2.8420e+00 +/-  1.31e+00
  prop_binY16_bin72_dy_gg    9.9933e-01 +/-  7.87e-01
  prop_binY16_bin72_fmn    1.2626e-02 +/-  2.32e-01
  prop_binY16_bin72_fpl   -2.2582e-02 +/-  2.32e-01
  prop_binY16_bin72_gam    2.3895e+01 +/-  4.11e+00
     prop_binY16_bin73    3.1758e-03 +/-  2.31e-01
     prop_binY16_bin74    7.2027e-03 +/-  2.32e-01
     prop_binY16_bin75   -2.7160e-03 +/-  2.32e-01
     prop_binY16_bin76    3.9351e-04 +/-  2.32e-01
     prop_binY16_bin77   -6.3928e-03 +/-  2.32e-01
     prop_binY16_bin78    4.2094e-03 +/-  2.31e-01
     prop_binY16_bin79    5.3761e-02 +/-  2.31e-01
      prop_binY16_bin8    4.3185e-03 +/-  2.30e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  5.22e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  2.32e-01
  prop_binY16_bin80_alpha    8.9225e-05 +/-  2.32e-01
  prop_binY16_bin80_dy_gg    2.0014e+00 +/-  1.13e+00
  prop_binY16_bin80_fmn   -4.8279e-03 +/-  2.32e-01
  prop_binY16_bin80_fpl    6.8253e-03 +/-  2.32e-01
  prop_binY16_bin80_gam    3.0031e+00 +/-  1.39e+00
     prop_binY16_bin81    4.6130e-03 +/-  2.31e-01
     prop_binY16_bin82    2.0881e-02 +/-  2.31e-01
     prop_binY16_bin83    4.1387e-04 +/-  2.32e-01
     prop_binY16_bin84   -2.3922e-04 +/-  2.32e-01
     prop_binY16_bin85   -1.4343e-02 +/-  2.32e-01
     prop_binY16_bin86    2.2224e-03 +/-  2.32e-01
     prop_binY16_bin87   -2.7551e-03 +/-  2.32e-01
