
Attaching file multidimfit.root as _file0...
(TFile *) 0x2dd7370

  RooFitResult: minimized FCN value: -6.2747, estimated distance to minimum: 4.3433e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.48e+00
  prop_binY16_bin95_dy_gg   -1.5298e-04 +/-  1.84e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.27e+00
  prop_binY16_bin95_fpl    2.9980e+00 +/-  1.26e+00
      prop_binY17_bin0    2.9723e-01 +/-  1.82e-01
      prop_binY17_bin1   -2.0762e-01 +/-  1.83e-01
     prop_binY17_bin10    1.1220e-01 +/-  1.84e-01
     prop_binY17_bin11   -6.7429e-02 +/-  1.84e-01
     prop_binY17_bin12    8.6305e-02 +/-  1.84e-01
     prop_binY17_bin13   -9.8429e-02 +/-  1.84e-01
     prop_binY17_bin14   -1.5252e-02 +/-  1.84e-01
     prop_binY17_bin15    2.2415e-01 +/-  1.83e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin16_alpha   -5.1979e-04 +/-  1.84e-01
  prop_binY17_bin16_bk    3.6792e+00 +/-  1.30e+00
  prop_binY17_bin16_dy_gg    7.9752e+00 +/-  2.14e+00
  prop_binY17_bin16_fmn    2.7225e-02 +/-  1.84e-01
  prop_binY17_bin16_fpl   -5.0228e-02 +/-  1.84e-01
  prop_binY17_bin16_gam    4.9894e+01 +/-  5.54e+00
     prop_binY17_bin17    4.2277e-03 +/-  1.84e-01
     prop_binY17_bin18    3.1443e-01 +/-  1.83e-01
     prop_binY17_bin19   -9.5684e-02 +/-  1.84e-01
      prop_binY17_bin2    6.1937e-02 +/-  1.84e-01
     prop_binY17_bin20   -3.1658e-03 +/-  1.84e-01
     prop_binY17_bin21   -2.0296e-01 +/-  1.84e-01
     prop_binY17_bin22   -2.2095e-03 +/-  1.84e-01
     prop_binY17_bin23    1.0550e-01 +/-  1.84e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.27e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.48e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  2.54e+00
  prop_binY17_bin24_bk    1.9367e+00 +/-  9.96e-01
  prop_binY17_bin24_dy_gg    9.8785e-01 +/-  7.05e-01
  prop_binY17_bin24_fmn    1.3127e+01 +/-  2.79e+00
  prop_binY17_bin24_fpl    1.2796e+01 +/-  2.73e+00
  prop_binY17_bin24_gam    4.9216e+00 +/-  1.64e+00
     prop_binY17_bin25   -3.7848e-02 +/-  1.84e-01
     prop_binY17_bin26    8.5656e-02 +/-  1.84e-01
     prop_binY17_bin27   -1.0980e-02 +/-  1.84e-01
     prop_binY17_bin28    1.6024e-02 +/-  1.84e-01
     prop_binY17_bin29   -5.2684e-02 +/-  1.84e-01
      prop_binY17_bin3    4.1082e-02 +/-  1.84e-01
     prop_binY17_bin30    3.1592e-03 +/-  1.84e-01
  prop_binY17_bin31_LQint    3.0000e+00 +/-  1.27e+00
  prop_binY17_bin31_LQpure    4.0000e+00 +/-  1.48e+00
  prop_binY17_bin31_alpha    1.1001e+01 +/-  2.54e+00
  prop_binY17_bin31_bk    2.0231e+00 +/-  1.03e+00
  prop_binY17_bin31_dy_gg    1.0043e+00 +/-  7.13e-01
  prop_binY17_bin31_fmn    1.2979e+01 +/-  2.77e+00
  prop_binY17_bin31_fpl    1.3155e+01 +/-  2.76e+00
  prop_binY17_bin31_gam    5.0280e+00 +/-  1.67e+00
  prop_binY17_bin32_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin32_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin32_alpha   -7.0832e-05 +/-  1.84e-01
  prop_binY17_bin32_bk    6.6126e+00 +/-  1.64e+00
  prop_binY17_bin32_dy_gg    1.5993e+01 +/-  3.09e+00
  prop_binY17_bin32_fmn    4.0546e-03 +/-  1.84e-01
  prop_binY17_bin32_fpl   -1.1395e-02 +/-  1.84e-01
  prop_binY17_bin32_gam   -1.0257e-02 +/-  1.84e-01
     prop_binY17_bin33    2.0203e-02 +/-  1.84e-01
     prop_binY17_bin34    2.7322e-02 +/-  1.84e-01
     prop_binY17_bin35   -1.1196e-01 +/-  1.84e-01
     prop_binY17_bin36    8.9217e-02 +/-  1.84e-01
     prop_binY17_bin37   -1.6497e-02 +/-  1.84e-01
     prop_binY17_bin38   -1.9147e-02 +/-  1.84e-01
     prop_binY17_bin39    1.6239e-01 +/-  1.82e-01
      prop_binY17_bin4    1.1764e-02 +/-  1.84e-01
  prop_binY17_bin40_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin40_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin40_alpha   -3.6896e-04 +/-  1.84e-01
  prop_binY17_bin40_bk    3.3325e+00 +/-  1.21e+00
  prop_binY17_bin40_dy_gg    3.3972e+01 +/-  4.56e+00
  prop_binY17_bin40_fmn    2.1618e-02 +/-  1.84e-01
  prop_binY17_bin40_fpl   -4.2126e-02 +/-  1.84e-01
  prop_binY17_bin40_gam    3.8790e+01 +/-  4.87e+00
     prop_binY17_bin41    5.0224e-02 +/-  1.84e-01
     prop_binY17_bin42    1.9260e-02 +/-  1.84e-01
     prop_binY17_bin43   -3.8934e-03 +/-  1.84e-01
     prop_binY17_bin44    5.3183e-03 +/-  1.84e-01
     prop_binY17_bin45   -9.4754e-03 +/-  1.84e-01
     prop_binY17_bin46   -1.9734e-02 +/-  1.84e-01
     prop_binY17_bin47    2.2782e-01 +/-  1.84e-01
  prop_binY17_bin48_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin48_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin48_alpha    2.7763e-05 +/-  1.84e-01
  prop_binY17_bin48_bk    5.0630e+00 +/-  1.55e+00
  prop_binY17_bin48_dy_gg    1.9002e+01 +/-  3.38e+00
  prop_binY17_bin48_fmn   -1.4950e-03 +/-  1.84e-01
  prop_binY17_bin48_fpl    2.4499e-03 +/-  1.84e-01
  prop_binY17_bin48_gam    2.6014e+01 +/-  3.98e+00
     prop_binY17_bin49    1.9228e-02 +/-  1.84e-01
      prop_binY17_bin5   -5.0992e-02 +/-  1.84e-01
     prop_binY17_bin50    1.9797e-03 +/-  1.84e-01
     prop_binY17_bin51    2.0937e-03 +/-  1.84e-01
     prop_binY17_bin52   -8.7337e-05 +/-  1.84e-01
     prop_binY17_bin53   -3.9347e-04 +/-  1.84e-01
     prop_binY17_bin54   -4.5674e-03 +/-  1.84e-01
     prop_binY17_bin55   -9.3679e-03 +/-  1.84e-01
  prop_binY17_bin56_LQint    2.0000e+00 +/-  1.02e+00
  prop_binY17_bin56_LQpure    3.0000e+00 +/-  1.27e+00
  prop_binY17_bin56_alpha    2.5000e+01 +/-  3.90e+00
  prop_binY17_bin56_dy_gg    1.9978e+00 +/-  1.02e+00
  prop_binY17_bin56_fmn    2.8014e+01 +/-  4.13e+00
  prop_binY17_bin56_fpl    2.7979e+01 +/-  4.13e+00
  prop_binY17_bin56_gam    1.9995e+00 +/-  1.02e+00
     prop_binY17_bin57    6.9352e-03 +/-  1.84e-01
     prop_binY17_bin58   -1.3259e-02 +/-  1.84e-01
     prop_binY17_bin59    9.9455e-03 +/-  1.84e-01
      prop_binY17_bin6    1.6420e-01 +/-  1.83e-01
     prop_binY17_bin60   -1.0697e-02 +/-  1.84e-01
     prop_binY17_bin61    6.3931e-03 +/-  1.84e-01
     prop_binY17_bin62   -1.4877e-03 +/-  1.84e-01
  prop_binY17_bin63_LQint    2.0000e+00 +/-  1.02e+00
  prop_binY17_bin63_LQpure    3.0000e+00 +/-  1.27e+00
  prop_binY17_bin63_alpha    2.5000e+01 +/-  3.90e+00
  prop_binY17_bin63_dy_gg    2.0004e+00 +/-  1.02e+00
  prop_binY17_bin63_fmn    2.7999e+01 +/-  4.13e+00
  prop_binY17_bin63_fpl    2.8008e+01 +/-  4.13e+00
  prop_binY17_bin63_gam    2.0001e+00 +/-  1.02e+00
     prop_binY17_bin64   -1.3163e-01 +/-  1.84e-01
     prop_binY17_bin65    9.6787e-03 +/-  1.84e-01
     prop_binY17_bin66   -4.6403e-03 +/-  1.84e-01
     prop_binY17_bin67   -5.1963e-04 +/-  1.84e-01
     prop_binY17_bin68    7.8162e-04 +/-  1.84e-01
     prop_binY17_bin69    7.2956e-03 +/-  1.84e-01
      prop_binY17_bin7   -2.4945e-01 +/-  1.82e-01
     prop_binY17_bin70   -2.0736e-03 +/-  1.84e-01
     prop_binY17_bin71    1.0641e-01 +/-  1.84e-01
     prop_binY17_bin72    2.2057e-02 +/-  1.84e-01
     prop_binY17_bin73    6.5583e-03 +/-  1.84e-01
     prop_binY17_bin74    1.1115e-02 +/-  1.84e-01
     prop_binY17_bin75    2.4624e-03 +/-  1.84e-01
     prop_binY17_bin76   -9.1815e-04 +/-  1.84e-01
     prop_binY17_bin77   -3.8843e-03 +/-  1.84e-01
     prop_binY17_bin78    4.7981e-04 +/-  1.84e-01
     prop_binY17_bin79   -6.0744e-03 +/-  1.84e-01
      prop_binY17_bin8   -2.8417e-01 +/-  1.82e-01
  prop_binY17_bin80_LQint    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin80_LQpure    0.0000e+00 +/-  1.84e-01
  prop_binY17_bin80_alpha    3.0307e-05 +/-  1.84e-01
  prop_binY17_bin80_bk    2.0090e+00 +/-  1.02e+00
  prop_binY17_bin80_dy_gg    1.0001e+01 +/-  2.41e+00
  prop_binY17_bin80_fmn   -1.6455e-03 +/-  1.84e-01
  prop_binY17_bin80_fpl    2.2961e-03 +/-  1.84e-01
  prop_binY17_bin80_gam    5.0096e+00 +/-  1.66e+00
     prop_binY17_bin81    5.3605e-03 +/-  1.84e-01
     prop_binY17_bin82   -2.1601e-05 +/-  1.84e-01
     prop_binY17_bin83   -8.4368e-04 +/-  1.84e-01
