
Attaching file multidimfit.root as _file0...
(TFile *) 0x3f605a0

  RooFitResult: minimized FCN value: -6.22881, estimated distance to minimum: 6.41269e-05
                covariance matrix quality: Full, accurate covariance matrix
                Status : MINIMIZE=0 HESSE=0 

    Floating Parameter    FinalValue +/-  Error   
  prop_binY16_bin48_dy_gg    1.0989e+01 +/-  3.28e+00
  prop_binY16_bin48_fmn    1.2370e-02 +/-  9.93e-01
  prop_binY16_bin48_fpl   -2.0495e-02 +/-  9.90e-01
  prop_binY16_bin48_gam    6.9839e+00 +/-  2.61e+00
     prop_binY16_bin49    3.6796e-02 +/-  9.81e-01
      prop_binY16_bin5    1.4284e-02 +/-  9.35e-01
     prop_binY16_bin50   -2.0675e-02 +/-  9.77e-01
     prop_binY16_bin51   -2.0963e-02 +/-  9.85e-01
     prop_binY16_bin52    1.6395e-02 +/-  9.84e-01
     prop_binY16_bin53    2.8705e-03 +/-  9.81e-01
     prop_binY16_bin54   -9.0603e-03 +/-  9.84e-01
     prop_binY16_bin55    3.3096e-02 +/-  9.73e-01
  prop_binY16_bin56_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin56_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin56_alpha    2.9998e+00 +/-  1.71e+00
  prop_binY16_bin56_dy_gg   -6.2629e-03 +/-  9.92e-01
  prop_binY16_bin56_fmn    5.7849e-03 +/-  9.93e-01
  prop_binY16_bin56_fpl   -2.4466e-02 +/-  9.62e-01
     prop_binY16_bin57    1.5495e-02 +/-  9.82e-01
     prop_binY16_bin58   -7.1130e-03 +/-  9.82e-01
     prop_binY16_bin59   -7.8509e-04 +/-  9.84e-01
      prop_binY16_bin6   -5.3728e-02 +/-  9.19e-01
     prop_binY16_bin60   -4.5904e-03 +/-  9.84e-01
     prop_binY16_bin61   -1.8705e-03 +/-  9.83e-01
     prop_binY16_bin62   -3.4835e-03 +/-  9.87e-01
  prop_binY16_bin63_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin63_alpha    2.9995e+00 +/-  1.71e+00
  prop_binY16_bin63_dy_gg   -1.5140e-02 +/-  9.94e-01
  prop_binY16_bin63_fmn    1.6829e-02 +/-  9.94e-01
  prop_binY16_bin63_fpl   -4.9101e-02 +/-  9.94e-01
     prop_binY16_bin64    2.2074e-02 +/-  9.66e-01
     prop_binY16_bin65   -5.0876e-03 +/-  9.88e-01
     prop_binY16_bin66   -5.0533e-03 +/-  9.88e-01
     prop_binY16_bin67    1.0705e-02 +/-  9.87e-01
     prop_binY16_bin68   -1.0259e-02 +/-  9.88e-01
     prop_binY16_bin69   -2.6253e-03 +/-  9.89e-01
      prop_binY16_bin7    3.0517e-01 +/-  8.99e-01
     prop_binY16_bin70    8.2451e-03 +/-  9.89e-01
     prop_binY16_bin71   -3.4350e-03 +/-  9.75e-01
  prop_binY16_bin72_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin72_alpha   -1.9423e-04 +/-  9.94e-01
  prop_binY16_bin72_bk    2.8388e+00 +/-  1.58e+00
  prop_binY16_bin72_dy_gg    9.9939e-01 +/-  9.88e-01
  prop_binY16_bin72_fmn    1.2708e-02 +/-  9.94e-01
  prop_binY16_bin72_fpl   -2.2861e-02 +/-  9.93e-01
  prop_binY16_bin72_gam    2.3896e+01 +/-  4.83e+00
     prop_binY16_bin73    3.0951e-03 +/-  9.84e-01
     prop_binY16_bin74    6.7261e-03 +/-  9.89e-01
     prop_binY16_bin75   -2.4479e-03 +/-  9.90e-01
     prop_binY16_bin76    6.6627e-04 +/-  9.90e-01
     prop_binY16_bin77   -6.9793e-03 +/-  9.90e-01
     prop_binY16_bin78    4.2749e-03 +/-  9.88e-01
     prop_binY16_bin79    5.3180e-02 +/-  9.72e-01
      prop_binY16_bin8    8.0313e-04 +/-  8.94e-01
  prop_binY16_bin80_LQint    3.8000e+01 +/-  6.11e+00
  prop_binY16_bin80_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin80_alpha    7.4308e-05 +/-  9.94e-01
  prop_binY16_bin80_dy_gg    2.0013e+00 +/-  1.40e+00
  prop_binY16_bin80_fmn   -4.5847e-03 +/-  9.92e-01
  prop_binY16_bin80_fpl    6.5137e-03 +/-  9.90e-01
  prop_binY16_bin80_gam    3.0028e+00 +/-  1.72e+00
     prop_binY16_bin81    4.7390e-03 +/-  9.87e-01
     prop_binY16_bin82    2.1154e-02 +/-  9.87e-01
     prop_binY16_bin83    6.1067e-04 +/-  9.90e-01
     prop_binY16_bin84   -1.9297e-04 +/-  9.90e-01
     prop_binY16_bin85   -1.4215e-02 +/-  9.89e-01
     prop_binY16_bin86    2.3946e-03 +/-  9.89e-01
     prop_binY16_bin87   -2.9910e-03 +/-  9.90e-01
  prop_binY16_bin88_LQint    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin88_alpha    3.9999e+00 +/-  1.98e+00
  prop_binY16_bin88_dy_gg   -1.3366e-03 +/-  9.94e-01
  prop_binY16_bin88_fmn    3.0051e+00 +/-  1.72e+00
  prop_binY16_bin88_fpl    2.9938e+00 +/-  1.71e+00
  prop_binY16_bin89_LQint    3.9000e+01 +/-  6.19e+00
  prop_binY16_bin89_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin89_alpha    2.3153e-04 +/-  9.94e-01
  prop_binY16_bin89_dy_gg    2.0002e+00 +/-  1.40e+00
  prop_binY16_bin89_fmn   -6.3333e-03 +/-  9.92e-01
  prop_binY16_bin89_fpl    9.4289e-03 +/-  9.88e-01
      prop_binY16_bin9    2.5780e-01 +/-  8.68e-01
  prop_binY16_bin90_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin90_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin90_alpha    5.5601e-05 +/-  9.94e-01
  prop_binY16_bin90_dy_gg    3.0002e+00 +/-  1.71e+00
  prop_binY16_bin90_fmn   -9.0576e-04 +/-  9.93e-01
  prop_binY16_bin90_fpl    1.6431e-03 +/-  9.90e-01
  prop_binY16_bin90_gam    2.0007e+00 +/-  1.40e+00
  prop_binY16_bin91_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin91_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY16_bin91_alpha   -1.3992e-04 +/-  9.94e-01
  prop_binY16_bin91_dy_gg   -5.4701e-05 +/-  9.94e-01
  prop_binY16_bin91_fmn    1.5524e-03 +/-  9.94e-01
  prop_binY16_bin91_fpl   -4.2096e-03 +/-  9.90e-01
  prop_binY16_bin91_gam    1.9985e+00 +/-  1.40e+00
     prop_binY16_bin92    4.5307e-03 +/-  9.89e-01
     prop_binY16_bin93   -6.9003e-04 +/-  9.89e-01
     prop_binY16_bin94   -5.8727e-04 +/-  9.90e-01
  prop_binY16_bin95_LQint    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_alpha    4.0000e+00 +/-  1.98e+00
  prop_binY16_bin95_dy_gg   -1.8540e-04 +/-  9.94e-01
  prop_binY16_bin95_fmn    3.0002e+00 +/-  1.71e+00
  prop_binY16_bin95_fpl    2.9975e+00 +/-  1.71e+00
      prop_binY17_bin0    3.0427e-01 +/-  7.76e-01
      prop_binY17_bin1   -2.0817e-01 +/-  8.90e-01
     prop_binY17_bin10    1.1039e-01 +/-  9.23e-01
     prop_binY17_bin11   -7.0874e-02 +/-  9.44e-01
     prop_binY17_bin12    8.2966e-02 +/-  9.46e-01
     prop_binY17_bin13   -9.8028e-02 +/-  9.42e-01
     prop_binY17_bin14   -1.7669e-02 +/-  9.62e-01
     prop_binY17_bin15    2.2522e-01 +/-  8.55e-01
  prop_binY17_bin16_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin16_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin16_alpha   -4.5759e-04 +/-  9.94e-01
  prop_binY17_bin16_bk    3.6819e+00 +/-  1.65e+00
  prop_binY17_bin16_dy_gg    7.9753e+00 +/-  2.79e+00
  prop_binY17_bin16_fmn    2.6999e-02 +/-  9.92e-01
  prop_binY17_bin16_fpl   -5.0139e-02 +/-  9.85e-01
  prop_binY17_bin16_gam    4.9896e+01 +/-  6.99e+00
     prop_binY17_bin17    3.9957e-03 +/-  9.12e-01
     prop_binY17_bin18    3.2910e-01 +/-  9.01e-01
     prop_binY17_bin19   -9.6363e-02 +/-  9.61e-01
      prop_binY17_bin2    5.7687e-02 +/-  9.39e-01
     prop_binY17_bin20   -3.5929e-03 +/-  9.62e-01
     prop_binY17_bin21   -1.9829e-01 +/-  9.43e-01
     prop_binY17_bin22   -2.1143e-03 +/-  9.49e-01
     prop_binY17_bin23    1.0587e-01 +/-  9.25e-01
  prop_binY17_bin24_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin24_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY17_bin24_alpha    1.0998e+01 +/-  3.28e+00
  prop_binY17_bin24_bk    1.9377e+00 +/-  1.35e+00
  prop_binY17_bin24_dy_gg    9.8728e-01 +/-  9.76e-01
  prop_binY17_bin24_fmn    1.3126e+01 +/-  3.60e+00
  prop_binY17_bin24_fpl    1.2795e+01 +/-  3.51e+00
  prop_binY17_bin24_gam    4.9226e+00 +/-  2.18e+00
     prop_binY17_bin25   -3.6255e-02 +/-  9.72e-01
     prop_binY17_bin26    9.0733e-02 +/-  9.52e-01
     prop_binY17_bin27   -6.0682e-03 +/-  9.70e-01
     prop_binY17_bin28    2.1693e-02 +/-  9.71e-01
     prop_binY17_bin29   -4.9298e-02 +/-  9.68e-01
      prop_binY17_bin3    3.7589e-02 +/-  9.49e-01
     prop_binY17_bin30    6.6631e-03 +/-  9.76e-01
  prop_binY17_bin31_LQint    3.0000e+00 +/-  1.71e+00
  prop_binY17_bin31_LQpure    4.0000e+00 +/-  1.98e+00
  prop_binY17_bin31_alpha    1.1001e+01 +/-  3.29e+00
  prop_binY17_bin31_bk    2.0228e+00 +/-  1.41e+00
  prop_binY17_bin31_dy_gg    1.0045e+00 +/-  9.93e-01
  prop_binY17_bin31_fmn    1.2979e+01 +/-  3.56e+00
  prop_binY17_bin31_fpl    1.3156e+01 +/-  3.53e+00
  prop_binY17_bin31_gam    5.0277e+00 +/-  2.22e+00
  prop_binY17_bin32_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin32_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin32_alpha   -6.1766e-05 +/-  9.94e-01
  prop_binY17_bin32_bk    6.6209e+00 +/-  1.98e+00
  prop_binY17_bin32_dy_gg    1.5993e+01 +/-  3.96e+00
  prop_binY17_bin32_fmn    3.9854e-03 +/-  9.94e-01
  prop_binY17_bin32_fpl   -1.1277e-02 +/-  9.93e-01
  prop_binY17_bin32_gam   -9.9449e-03 +/-  9.94e-01
     prop_binY17_bin33    1.8403e-02 +/-  9.86e-01
     prop_binY17_bin34    2.3236e-02 +/-  9.44e-01
     prop_binY17_bin35   -1.1219e-01 +/-  9.69e-01
     prop_binY17_bin36    8.7752e-02 +/-  9.67e-01
     prop_binY17_bin37   -1.9916e-02 +/-  9.54e-01
     prop_binY17_bin38   -2.1200e-02 +/-  9.87e-01
     prop_binY17_bin39    1.6561e-01 +/-  7.97e-01
      prop_binY17_bin4    7.4377e-03 +/-  9.51e-01
  prop_binY17_bin40_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin40_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin40_alpha   -3.3065e-04 +/-  9.94e-01
  prop_binY17_bin40_bk    3.3207e+00 +/-  1.49e+00
  prop_binY17_bin40_dy_gg    3.3970e+01 +/-  5.77e+00
  prop_binY17_bin40_fmn    2.1821e-02 +/-  9.94e-01
  prop_binY17_bin40_fpl   -4.2783e-02 +/-  9.93e-01
  prop_binY17_bin40_gam    3.8791e+01 +/-  6.15e+00
     prop_binY17_bin41    4.9813e-02 +/-  9.38e-01
     prop_binY17_bin42    1.8114e-02 +/-  9.89e-01
     prop_binY17_bin43   -4.2848e-03 +/-  9.90e-01
     prop_binY17_bin44    4.6345e-03 +/-  9.90e-01
     prop_binY17_bin45   -1.1062e-02 +/-  9.90e-01
     prop_binY17_bin46   -1.9917e-02 +/-  9.67e-01
     prop_binY17_bin47    2.2096e-01 +/-  9.14e-01
  prop_binY17_bin48_LQint    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin48_LQpure    0.0000e+00 +/-  9.94e-01
  prop_binY17_bin48_alpha    2.6976e-05 +/-  9.94e-01
  prop_binY17_bin48_bk    5.0680e+00 +/-  1.95e+00
