"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
1000-14000 0.0-0.6 -0.25-0.00 33.5662956237793 1.0099582318427176 -3.814479351043701 1.2677698093544552 23.0 23.0
1000-14000 0.0-0.6 0.00-0.25 33.21868896484375 0.9201688010392992 -3.9321742057800293 1.3035303906563394 26.0 26.0
1000-14000 0.0-0.6 0.25-0.50 37.63364028930664 0.945677604420569 -4.7521209716796875 1.5809473186100989 27.0 27.0
1000-14000 0.0-0.6 0.50-0.75 45.59441375732422 1.23501174653093 -6.037197113037109 1.996980162225985 42.0 42.0
1000-14000 0.0-0.6 0.75-1.00 61.519405364990234 1.7360323831454354 -8.34991455078125 2.7713459652007684 52.0 52.0
1000-14000 0.6-1.0 -1.00--0.75 89.55780029296875 2.5054246475309254 -9.44968032836914 3.1125313107246644 74.0 74.0
1000-14000 0.6-1.0 -0.50--0.25 31.602706909179688 1.4106096285219059 -2.275834798812866 0.7649976785916678 31.0 31.0
1000-14000 0.6-1.0 -0.25-0.00 15.583356857299805 0.629282965090646 -1.6144309043884277 0.5433085876824116 11.0 11.0
1000-14000 0.6-1.0 0.00-0.25 18.208847045898438 0.5704241489830311 -2.1847083568573 0.7231872416995089 18.0 18.0
1000-14000 0.6-1.0 0.25-0.50 24.413902282714844 1.2327859288516274 -3.2112364768981934 1.0636729808425716 24.0 24.0
1000-14000 0.6-1.0 0.50-0.75 33.21604919433594 0.9938343611446893 -4.746315002441406 1.584239763248929 28.0 28.0
1000-14000 1.0-2.4 -1.00--0.75 88.1126708984375 2.224724381827691 -12.28240966796875 4.0699211682481895 70.0 70.0
1000-14000 1.0-2.4 -0.50--0.25 15.81706428527832 1.239539981197374 -0.928873598575592 0.3308045380625288 14.0 14.0
1000-14000 1.0-2.4 -0.25-0.00 13.897525787353516 0.677230083862308 -1.329481601715088 0.44821448918414925 9.0 9.0
1000-14000 1.0-2.4 0.00-0.25 19.439483642578125 0.791134709569276 -2.3880462646484375 0.798743557976235 12.0 12.0
1000-14000 1.0-2.4 0.25-0.50 28.18978500366211 0.9059655079147407 -3.829014778137207 1.2785254445143266 33.0 33.0
1000-14000 1.0-2.4 0.50-0.75 39.120338439941406 1.2446193997374362 -5.53119421005249 1.8366093994644621 20.0 20.0
