"mass (GeV)" rapidity cos(theta_R) Background "Background err" "LQ template yield" "LQ template yield err" "Observed data" "Observed data err"
700-1000 0.0-0.6 -0.25-0.00 92.30787658691406 2.396148090011773 -0.6157464981079102 0.4531587633064543 100.0 100.0
700-1000 0.0-0.6 0.00-0.25 87.36434173583984 2.1892132702623295 -0.5082646608352661 0.37183320491435484 89.0 89.0
700-1000 0.0-0.6 0.25-0.50 94.7828598022461 2.220046800984947 -0.4493343234062195 0.32865209502122766 107.0 107.0
700-1000 0.0-0.6 0.50-0.75 113.49055480957031 2.7037278147385555 -0.43102216720581055 0.3170013476444118 122.0 122.0
700-1000 0.0-0.6 0.75-1.00 160.7373046875 3.95853418062088 -0.4771289825439453 0.34847299534653564 149.0 149.0
700-1000 0.6-1.0 -1.00--0.75 285.8336181640625 6.465794746017356 -0.5144447684288025 0.3819502687275984 282.0 282.0
700-1000 0.6-1.0 -0.50--0.25 126.29855346679688 3.977837068385179 -1.2666023969650269 0.9247956027604121 154.0 154.0
700-1000 0.6-1.0 -0.25-0.00 48.02085876464844 1.4998427433673878 -0.5213033556938171 0.38074908900963916 48.0 48.0
700-1000 0.6-1.0 0.00-0.25 51.41395568847656 1.4648589985501683 -0.38143670558929443 0.279944411883201 46.0 46.0
700-1000 0.6-1.0 0.25-0.50 64.12762451171875 1.6586996165299805 -0.2767620086669922 0.20324618788813487 62.0 62.0
700-1000 0.6-1.0 0.50-0.75 84.41937255859375 1.9581531105334047 -0.21848586201667786 0.15954839119773828 84.0 84.0
700-1000 1.0-2.4 -1.00--0.75 246.9589385986328 4.591589338453768 -0.3308230936527252 0.23981907500107388 240.0 240.0
700-1000 1.0-2.4 -0.50--0.25 70.57275390625 3.3708669194478436 -1.3283114433288574 0.977813463744162 56.0 56.0
700-1000 1.0-2.4 -0.25-0.00 64.923828125 2.5446870246671707 -1.040200114250183 0.7634575257979499 57.0 57.0
700-1000 1.0-2.4 0.00-0.25 88.34657287597656 2.2786375222035105 -0.7943562269210815 0.5846985024898114 98.0 98.0
700-1000 1.0-2.4 0.25-0.50 120.50628662109375 2.387034496751365 -0.5211656093597412 0.382701428241314 120.0 120.0
700-1000 1.0-2.4 0.50-0.75 155.830810546875 3.2265897657951395 -0.2956637740135193 0.2170769009043108 152.0 152.0
1000-14000 0.0-0.6 -1.00--0.75 215.2559356689453 4.577738170930547 -0.18377402424812317 0.1361052161218761 235.0 235.0
1000-14000 0.0-0.6 -0.75--0.50 62.43633270263672 2.2905865895282687 -0.6640142798423767 0.7625012618052907 73.0 73.0
1000-14000 0.0-0.6 -0.50--0.25 40.74181365966797 1.254070914308096 -0.6097841262817383 0.746324802504838 44.0 44.0
1000-14000 0.0-0.6 -0.25-0.00 32.33185577392578 0.9522918328650908 -0.4559583067893982 0.603881701908889 23.0 23.0
1000-14000 0.0-0.6 0.00-0.25 31.973377227783203 0.8560174816045301 -0.3715980052947998 0.5152515783727091 26.0 26.0
1000-14000 0.0-0.6 0.25-0.50 36.00954055786133 0.8589733164141469 -0.3119473159313202 0.43967772542576045 27.0 27.0
1000-14000 0.0-0.6 0.50-0.75 43.43564224243164 1.1057584876028093 -0.2960457503795624 0.4064202364170004 42.0 42.0
1000-14000 0.0-0.6 0.75-1.00 58.48442077636719 1.531330432363269 -0.3399662971496582 0.4214137000058881 52.0 52.0
1000-14000 0.6-1.0 -1.00--0.75 85.91441345214844 2.4327071048154147 -0.3412248492240906 0.3825879755603863 74.0 74.0
1000-14000 0.6-1.0 -0.50--0.25 31.16700553894043 1.409200892421638 -0.892559289932251 1.0361810131942364 31.0 31.0
1000-14000 0.6-1.0 -0.25-0.00 15.260049819946289 0.6063313235216553 -0.3641485571861267 0.45864819939461 11.0 11.0
1000-14000 0.6-1.0 0.00-0.25 17.552967071533203 0.5251565732865668 -0.2555941939353943 0.3344217869366621 18.0 18.0
1000-14000 0.6-1.0 0.25-0.50 23.277690887451172 1.2020435855568998 -0.17911238968372345 0.24303129406382618 24.0 24.0
1000-14000 0.6-1.0 0.50-0.75 31.60918426513672 0.9247595306141646 -0.13272473216056824 0.1850107474477226 28.0 28.0
1000-14000 1.0-2.4 -1.00--0.75 83.47090148925781 2.0208144111611133 -0.17484702169895172 0.2115823050650839 70.0 70.0
1000-14000 1.0-2.4 -0.50--0.25 15.689043045043945 1.2157378010132098 -0.6812326312065125 0.7131058002730158 14.0 14.0
1000-14000 1.0-2.4 -0.25-0.00 13.609175682067871 0.662834005733524 -0.44789499044418335 0.4783704713029145 9.0 9.0
1000-14000 1.0-2.4 0.00-0.25 18.738433837890625 0.6924127596686188 -0.32313454151153564 0.360586885508945 12.0 12.0
1000-14000 1.0-2.4 0.25-0.50 26.823570251464844 0.7757221748254003 -0.20822376012802124 0.24189620265843934 33.0 33.0
1000-14000 1.0-2.4 0.50-0.75 36.868896484375 1.0826142655944817 -0.11613299697637558 0.1412977425800341 20.0 20.0
