
Processing Fitting/LQ_draw_templates.C...
=========================
 m_LQ = 1000.000000, use_LQ_denom = 1, draw_muons = 0, draw_electrons = 1 
=========================
init year 2016  
Setting up SF's 
TH1.Print Name  = emu16_cost_ratio, Entries= 22022, Total sum= 7.5015
Making mc template for sys  
Fixed up bin 1 4 1. Old asym val was -0.36, new is -0.23 

MC templates generated from 244464 events. Sym integral is 3651.6 
 
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 7, converted_index = 95, pure_content= 0.000000031085
i_lqm_bin = 3, i_rap_bin = 4, i_cost_bin = 8, converted_index = 96, pure_content= 0.000000000030
init year 2017  
Setting up SF's 
hlt
id
iso
TH1.Print Name  = emu17_cost_ratio, Entries= 14501, Total sum= 7.52282
Making mc template for sys  
Fixed up bin 1 4 1. Old asym val was -0.46, new is -0.31 

MC templates generated from 489568 events. Sym integral is 4295.9 
 
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 1, converted_index = 1, pure_content= 0.000001023576
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 2, converted_index = 2, pure_content= 0.000000066826
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 3, converted_index = 3, pure_content= 0.000000063683
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 4, converted_index = 4, pure_content= 0.000000067941
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 5, converted_index = 5, pure_content= 0.000000067941
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 6, converted_index = 6, pure_content= 0.000000063683
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 7, converted_index = 7, pure_content= 0.000000066826
i_lqm_bin = 1, i_rap_bin = 1, i_cost_bin = 8, converted_index = 8, pure_content= 0.000001023576
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 1, converted_index = 9, pure_content= 0.000000026910
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 2, converted_index = 10, pure_content= 0.000000035545
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 3, converted_index = 11, pure_content= 0.000000041502
i_lqm_bin = 1, i_rap_bin = 2, i_cost_bin = 4, converted_index = 12, pure_content= 0.000000041579
